ada,afektif,agrophobia,ajar,akibat,aktivitas,alam,alami,anggap,anomali,anorexa,anxiety,asa,assessment,atas,awat,badan,bahasa,bangun,beda,benar,bentuk,berat,berulangulang,bipolar,bulimia,buluh,buruk,bus,cemas,dampak,darah,dasar,daya,delirium,delusi,demensia,dengar,depresi,derita,diagnosa,diagnosis,disorder,disosiatif,dokter,durasi,efek,eksentrik,emosi,enak,episode,episodik,etiologis,faktor,fisik,fobia,fungsi,ganggu,gaya,gejala,gera,halusinasi,hati,hidup,hipersomnia,hipertensi,hitung,index,infark,intens,interaksi,jadi,jadwal,jalan,jangka,jenis,jiwa,kacau,kantuk,kapasitas,kelompok,keluar,keluh,kembang,kena,kereta,keringat,kerumun,kisar,knowledges,kompleks,kompulsif,kondisi,kontribusi,kortikal,kronis,kumulatif,kurang,lain,laku,langkah,lelah,liput,makan,maksud,malam,mampu,manik,memori,memukulmukul,menang,mental,milik,mimpi,mood,napas,nervosa,neurologis,night,nilai,nyata,nyenyak,nyeri,obat,obsesif,ocd,orang,organik,orientasi,otak,paham,panik,parah,pasuk,pendek,pengaruh,pergi,perhati,periksa,perilaku,persepsi,persisten,perut,pesawat,pikir,pola,posttraumatic,prediksi,progresif,proses,psikiater,psikolog,psikologi,psikomotorik,psikosis,ptsd,putus,rasa,ria,ringan,rumah,sadar,sakit,sama,sebab,sedan,seharihari,sehat,seksual,sembuh,serebral,serebrovaskular,sesuai,siang,sifat,sindrom,situasi,skizofrenia,skizofrenik,somatisasi,somatoform,somnambulism,sosial,spesifik,stres,stress,suasana,sulit,sumber,takut,tambah,tanda,tangan,tempattempat,temu,terkadang,terror,tidur,tidurbangun,tindak,ting,tinggal,tingkat,toko,tonjol,tubuh,turun,ubah,ulang,variasi,vaskular,waham,ya
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Ya, penyakit mental bisa diobati dan ditangani dengan baik. 

Maksudnya, seseorang yang terkena penyakit mental, dan yang sedan berobat bisa sembuh. Akan tetapi, karena banyak faktor yang berkontribusi untuk perkembangan di setiap gejalanya, terkadang sulit untuk memprediksi bagaimana, kapan, atau pada tingkat apa seseorang tersebut bisa sembuh.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ketika Anda atau seseorang yang kita tahu mulai merasakan kondisi mental yang tidak sehat, langkah awal untuk mendapatkan perawatan adalah menemui psikiater atau psikologi untuk mengetahui diagnosa yang dideritanya.

Setelah melalui proses assessment (penilaian), psikiater atau psikolog bisa membuat diagnosa berdasarkan pola gejala tersebut. Keputusan tersebut bisa dijadikan sebagai perawatan yang baik untuk jenis dan penyebab penyakit lainnya.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Penyakit mental merupakan masalah kesehatan yang mempengaruhi bagaimana seseorang rasakan, berpikir, bertingkah laku, dan berinteraksi dengan orang lain. ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Depresi adalah perasaan mood rendah dalam jangka waktu yang lama dan mempengaruhi kehidupan sehari - hari. Ini bisa membuat kita menjadi kurangnya harapan, putus asa, bersalah, tidak berguna, kurangnya motivasi, dan merasa lelah. 

Depresi juga bisa mempengaruhi harga diri, waktu tidur, nafsu makan, dorongan seksual, dan terkadang, kesehatan fisik kita.

Pasien yang terkena depresi menderita penurunan mood, pengurangan energi dan penurunan aktivitas. Kapasitas untuk kesenangan, minat, dan konsentrasi berkurang, dan ditandai kelelahan bahkan biasanya ketika melakukan aktivitas yang minim.",0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gangguan kecemasan atau anxiety disorder adalah sekelompok gangguan di mana kecemasan hanya timbul, atau dominan, dalam situasi tertentu yang tidak berbahaya saat ini. Akibatnya, situasi-situasi ini secara khas dihindari atau bertahan dengan rasa takut.

Orang dengan gangguan kecemasan atau anxiety disorder akan merasa sangat khawatir terhadap berbagai hal, bahkan ketika dirinya sedang berada dalam situasi normal. 

Dan juga, ditandai dengan perasaan takut dengan gejala fisik yang terkait dengan kecemasan.  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bipolar disorder atau gangguan bipolar adalah gangguan yang ditandai oleh dua atau lebih episode di mana suasana hati pasien dan tingkat aktivitas terganggu secara signifikan. Gangguan ini terdiri pada beberapa peningkatan suasana hati, peningkatan energi dan aktivitas (hypomania atau mania), penurunan suasana hati dan penurunan energi dan aktivitas (depresi).

Dan juga, bipolar disorder atau gangguan bipolar adalah suatu kondisi mental yang menyebabkan terjadinya perubahan mood yang ekstrim. Hal ini membuat orang dengan gangguan bipolar memiliki episode mood yang sangat bahagia (mania) atau sangat sedih (depresi).

Sering kali, di antara perubahan keduanya, penderita tetap mengalami kondisi mood yang normal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Skizofrenia adalah gangguan mental kronis yang terjadi dalam jangka panjang. Skizofrenia juga menyebabkan penderitanya mengalami halusinasi, delusi atau waham, kekacauan berpikir, dan perubahan perilaku.

Gejala tersebut merupakan gejala dari psikosis, yaitu kondisi di mana penderitanya kesulitan membedakan kenyataan dengan pikirannya sendiri.",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PTSD atau Post-Traumatic Stress Disorder atau gangguan stres pasca trauma adalah respons yang tertunda atau berlarut-larut terhadap peristiwa atau situasi yang membuat stres (baik dalam jangka waktu singkat maupun panjang) yang bersifat sangat mengancam, yang kemungkinan menyebabkan tekanan yang meresap di hampir semua orang.

Dan juga, PTSD atau Post-Traumatic Stress Disorder atau gangguan stres pascatrauma adalah kondisi kejiwaan yang dipicu oleh kejadian tragis yang pernah dialami atau disaksikan. PTSD  termasuk kategori gangguan kecemasan yang membuat penderitanya tidak bisa melupakan atau sebaliknya tidak mau mengingat pengalaman traumatis tersebut, serta berpikir negatif terhadap diri sendiri dan dunia sekitarnya.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Demensia adalah sindrom akibat penyakit otak, biasanya kronis atau
sifat progresif, di mana ada gangguan beberapa fungsi kortikal yang lebih tinggi,
termasuk memori, cara berpikir, orientasi, pemahaman, perhitungan, kapasitas belajar,
bahasa dan penilaian.

Demensia adalah penyakit yang mengakibatkan penurunan daya ingat dan cara berpikir. Kondisi ini berdampak pada gaya hidup, kemampuan bersosialisasi, hingga aktivitas sehari-hari penderitanya.",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demensia vaskular adalah akibat dari infark otak akibat penyakit pembuluh darah, termasuk penyakit serebrovaskular hipertensi. Infark biasanya kecil tetapi efeknya kumulatif.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
